split,group_col,group_value,level,count,actual_coverage,expected_coverage,coverage_error,avg_interval_width,enough_sample
validation,forecast_horizon_hours,13.0,0.8,365,0.7945205479452054,0.8,-0.005479452054794609,3.8899448836903714,True
validation,forecast_horizon_hours,14.0,0.8,365,0.7945205479452054,0.8,-0.005479452054794609,3.894248466483807,True
validation,forecast_horizon_hours,15.0,0.8,4,1.0,0.8,0.19999999999999996,3.991365658203847,False
test,prediction_hour,0.0,0.8,1,1.0,0.8,0.19999999999999996,3.8193006325007026,False
test,prediction_hour,1.0,0.8,504,0.8353174603174603,0.8,0.0353174603174603,3.8666927957270145,True
test,prediction_hour,2.0,0.8,505,0.8336633663366336,0.8,0.03366336633663358,3.8641120994336307,True
test,prediction_hour,3.0,0.8,505,0.8336633663366336,0.8,0.03366336633663358,3.862276632814076,True
test,prediction_hour,4.0,0.8,505,0.8396039603960396,0.8,0.03960396039603953,3.8626833461782164,True
test,prediction_hour,5.0,0.8,505,0.8396039603960396,0.8,0.03960396039603953,3.8640741938494605,True
test,prediction_hour,6.0,0.8,505,0.8356435643564356,0.8,0.035643564356435564,3.8649555245630736,True
test,prediction_hour,7.0,0.8,504,0.8373015873015873,0.8,0.03730158730158728,3.8673911939894436,True
test,prediction_hour,8.0,0.8,505,0.8415841584158416,0.8,0.04158415841584151,3.8622379535103737,True
test,prediction_hour,9.0,0.8,505,0.8475247524752475,0.8,0.047524752475247456,3.862837182065069,True
test,prediction_hour,10.0,0.8,505,0.8633663366336634,0.8,0.06336633663366331,3.8987817141550587,True
test,prediction_hour,11.0,0.8,505,0.8752475247524752,0.8,0.0752475247524752,3.8975970707299066,True
test,prediction_hour,12.0,0.8,505,0.8594059405940594,0.8,0.05940594059405935,3.8711337976766687,True
test,prediction_hour,13.0,0.8,504,0.878968253968254,0.8,0.07896825396825391,3.8412769308216466,True
test,prediction_hour,14.0,0.8,504,0.8948412698412699,0.8,0.09484126984126984,3.797663626124957,True
test,prediction_hour,15.0,0.8,505,0.9148514851485149,0.8,0.11485148514851484,3.770356079980834,True
test,prediction_hour,16.0,0.8,504,0.9265873015873016,0.8,0.12658730158730158,3.752947282148851,True
test,prediction_hour,17.0,0.8,504,0.9325396825396826,0.8,0.1325396825396825,3.740985653967063,True
test,prediction_hour,18.0,0.8,505,0.9346534653465347,0.8,0.13465346534653466,3.7309755303869876,True
test,prediction_hour,19.0,0.8,505,0.9386138613861386,0.8,0.13861386138613851,3.7311775147370234,True
test,prediction_hour,20.0,0.8,505,0.9366336633663367,0.8,0.13663366336633664,3.7293062035188287,True
test,prediction_hour,21.0,0.8,505,0.9386138613861386,0.8,0.13861386138613851,3.7374948107799537,True
test,prediction_hour,22.0,0.8,505,0.9405940594059405,0.8,0.1405940594059405,3.7463982759503986,True
test,prediction_hour,23.0,0.8,505,0.9445544554455445,0.8,0.14455445544554446,3.749323007720656,True
