split,method,threshold,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
test,raw_ngboost,2.0,0.9-1.0,0.9819473506700066,0.96801186315009,9441,-0.013935487519916578,0.9,1.0
test,raw_ngboost,3.0,0.0-0.1,0.02780285065089312,0.0,125,-0.02780285065089312,0.0,0.1
test,raw_ngboost,3.0,0.1-0.2,0.14570698610384014,0.02040816326530612,49,-0.12529882283853402,0.1,0.2
test,raw_ngboost,3.0,0.2-0.3,0.23656262697582595,0.03571428571428571,28,-0.20084834126154022,0.2,0.30000000000000004
test,raw_ngboost,3.0,0.3-0.4,0.34211308649171435,0.15384615384615385,26,-0.1882669326455605,0.30000000000000004,0.4
test,raw_ngboost,3.0,0.4-0.5,0.45620481376522826,0.2,30,-0.25620481376522825,0.4,0.5
test,raw_ngboost,3.0,0.5-0.6,0.5612593703153174,0.4,25,-0.16125937031531734,0.5,0.6000000000000001
test,raw_ngboost,3.0,0.6-0.7,0.6522610996083479,0.7631578947368421,38,0.11089679512849426,0.6000000000000001,0.7000000000000001
test,raw_ngboost,3.0,0.7-0.8,0.7542527832220003,0.8076923076923077,52,0.05343952447030742,0.7000000000000001,0.8
test,raw_ngboost,3.0,0.8-0.9,0.8659889267374968,0.7755102040816326,343,-0.09047872265586421,0.8,0.9
test,raw_ngboost,3.0,0.9-1.0,0.9890162132500054,0.9807962118554893,11404,-0.008220001394516174,0.9,1.0
test,raw_ngboost,5.0,0.0-0.1,,,0,,0.0,0.1
test,raw_ngboost,5.0,0.1-0.2,,,0,,0.1,0.2
test,raw_ngboost,5.0,0.2-0.3,0.2725280768640229,0.0,12,-0.2725280768640229,0.2,0.30000000000000004
test,raw_ngboost,5.0,0.3-0.4,0.3535803905735637,0.0,21,-0.3535803905735637,0.30000000000000004,0.4
test,raw_ngboost,5.0,0.4-0.5,0.45565269897979765,0.0,5,-0.45565269897979765,0.4,0.5
test,raw_ngboost,5.0,0.5-0.6,0.5410401694440786,0.4375,32,-0.10354016944407862,0.5,0.6000000000000001
test,raw_ngboost,5.0,0.6-0.7,0.6291774785881592,0.9230769230769231,13,0.29389944448876393,0.6000000000000001,0.7000000000000001
test,raw_ngboost,5.0,0.7-0.8,0.7562387364464039,0.8461538461538461,13,0.08991510970744221,0.7000000000000001,0.8
test,raw_ngboost,5.0,0.8-0.9,0.8630703579264726,1.0,24,0.13692964207352742,0.8,0.9
test,raw_ngboost,5.0,0.9-1.0,0.9988302474524641,0.9969166666666667,12000,-0.0019135807857973974,0.9,1.0
validation,global_sigma_scaled,-5.0,0.0-0.1,0.006322357708250984,0.008099039685294457,8643,0.0017766819770434735,0.0,0.1
validation,global_sigma_scaled,-5.0,0.1-0.2,0.13419926096634882,0.21,100,0.07580073903365117,0.1,0.2
validation,global_sigma_scaled,-5.0,0.2-0.3,0.24132259250163457,0.6551724137931034,29,0.41384982129146886,0.2,0.30000000000000004
validation,global_sigma_scaled,-5.0,0.3-0.4,0.3317031770323758,0.8333333333333334,12,0.5016301563009575,0.30000000000000004,0.4
validation,global_sigma_scaled,-5.0,0.4-0.5,,,0,,0.4,0.5
validation,global_sigma_scaled,-5.0,0.5-0.6,,,0,,0.5,0.6000000000000001
validation,global_sigma_scaled,-5.0,0.6-0.7,,,0,,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,-5.0,0.7-0.8,,,0,,0.7000000000000001,0.8
validation,global_sigma_scaled,-5.0,0.8-0.9,,,0,,0.8,0.9
validation,global_sigma_scaled,-5.0,0.9-1.0,,,0,,0.9,1.0
validation,global_sigma_scaled,-3.0,0.0-0.1,0.019942517363661927,0.027084701247537753,6092,0.0071421838838758266,0.0,0.1
validation,global_sigma_scaled,-3.0,0.1-0.2,0.1421902937526801,0.15517241379310345,1102,0.012982120040423345,0.1,0.2
