split,group_col,group_value,nominal_coverage,empirical_coverage,coverage_gap,n_rows,mean_predicted_sigma,mean_abs_residual,enough_sample
test,prediction_hour,12,0.5,0.5306930693069307,0.03069306930693072,505,1.6545477974129503,1.3465415571645485,True
test,prediction_hour,12,0.8,0.8871287128712871,0.0871287128712871,505,1.6545477974129503,1.3465415571645485,True
test,prediction_hour,12,0.9,0.9702970297029703,0.07029702970297025,505,1.6545477974129503,1.3465415571645485,True
test,prediction_hour,13,0.5,0.5702970297029702,0.07029702970297025,505,1.4174077648089491,1.0874523201089394,True
test,prediction_hour,13,0.8,0.8950495049504951,0.09504950495049502,505,1.4174077648089491,1.0874523201089394,True
test,prediction_hour,13,0.9,0.9702970297029703,0.07029702970297025,505,1.4174077648089491,1.0874523201089394,True
test,prediction_hour,14,0.5,0.6376237623762376,0.13762376237623763,505,1.1206841341757552,0.8145237874972204,True
test,prediction_hour,14,0.8,0.897029702970297,0.097029702970297,505,1.1206841341757552,0.8145237874972204,True
test,prediction_hour,14,0.9,0.9524752475247524,0.05247524752475241,505,1.1206841341757552,0.8145237874972204,True
test,prediction_hour,15,0.5,0.7108910891089109,0.21089108910891086,505,0.7871706929106647,0.5663283767181696,True
test,prediction_hour,15,0.8,0.906930693069307,0.10693069306930691,505,0.7871706929106647,0.5663283767181696,True
test,prediction_hour,15,0.9,0.9603960396039604,0.06039603960396034,505,0.7871706929106647,0.5663283767181696,True
