split,method,bucket,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
test,raw_ngboost,market_bucket_4,0.6-0.7,0.6580983778634656,0.6417910447761194,67,-0.01630733308734622,0.6000000000000001,0.7000000000000001
test,raw_ngboost,market_bucket_4,0.7-0.8,0.751121661163086,1.0,77,0.24887833883691401,0.7000000000000001,0.8
test,raw_ngboost,market_bucket_4,0.8-0.9,0.862808838303115,0.987012987012987,77,0.12420414870987195,0.8,0.9
test,raw_ngboost,market_bucket_4,0.9-1.0,0.9287081420856085,1.0,38,0.07129185791439152,0.9,1.0
test,raw_ngboost,market_bucket_5,0.0-0.1,0.013961280810289033,0.010112075503497093,11867,-0.0038492053067919405,0.0,0.1
test,raw_ngboost,market_bucket_5,0.1-0.2,0.14640195808907697,0.04,75,-0.10640195808907696,0.1,0.2
test,raw_ngboost,market_bucket_5,0.2-0.3,0.2503284077079501,0.5625,96,0.3121715922920499,0.2,0.30000000000000004
test,raw_ngboost,market_bucket_5,0.3-0.4,0.3443013582716485,0.7230769230769231,65,0.3787755648052746,0.30000000000000004,0.4
test,raw_ngboost,market_bucket_5,0.4-0.5,0.4295353970499769,0.9411764705882353,17,0.5116410735382584,0.4,0.5
test,raw_ngboost,market_bucket_5,0.5-0.6,,,0,,0.5,0.6000000000000001
test,raw_ngboost,market_bucket_5,0.6-0.7,,,0,,0.6000000000000001,0.7000000000000001
test,raw_ngboost,market_bucket_5,0.7-0.8,,,0,,0.7000000000000001,0.8
test,raw_ngboost,market_bucket_5,0.8-0.9,,,0,,0.8,0.9
test,raw_ngboost,market_bucket_5,0.9-1.0,,,0,,0.9,1.0
validation,global_sigma_scaled,market_bucket_0,0.0-0.1,0.027835865971245443,0.023920472196334266,6438,-0.0039153937749111765,0.0,0.1
validation,global_sigma_scaled,market_bucket_0,0.1-0.2,0.14289431484691326,0.08992562542258282,1479,-0.05296868942433043,0.1,0.2
validation,global_sigma_scaled,market_bucket_0,0.2-0.3,0.24228697110162697,0.27676240208877284,383,0.034475430987145866,0.2,0.30000000000000004
validation,global_sigma_scaled,market_bucket_0,0.3-0.4,0.3584442461094944,0.48214285714285715,168,0.12369861103336277,0.30000000000000004,0.4
validation,global_sigma_scaled,market_bucket_0,0.4-0.5,0.43873148883555213,0.5821917808219178,146,0.14346029198636567,0.4,0.5
validation,global_sigma_scaled,market_bucket_0,0.5-0.6,0.5328623792509241,0.9318181818181818,88,0.3989558025672577,0.5,0.6000000000000001
validation,global_sigma_scaled,market_bucket_0,0.6-0.7,0.652982042185516,0.94,50,0.2870179578144839,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,market_bucket_0,0.7-0.8,0.7351040480068951,1.0,24,0.2648959519931049,0.7000000000000001,0.8
validation,global_sigma_scaled,market_bucket_0,0.8-0.9,0.8381481871163088,1.0,8,0.16185181288369122,0.8,0.9
validation,global_sigma_scaled,market_bucket_0,0.9-1.0,,,0,,0.9,1.0
validation,global_sigma_scaled,market_bucket_1,0.0-0.1,0.010533886846361648,0.0016253555465258025,2461,-0.008908531299835846,0.0,0.1
validation,global_sigma_scaled,market_bucket_1,0.1-0.2,0.16487801985989142,0.134029590948651,1149,-0.030848428911240428,0.1,0.2
validation,global_sigma_scaled,market_bucket_1,0.2-0.3,0.24608136400604144,0.2228696285506191,1373,-0.02321173545542235,0.2,0.30000000000000004
validation,global_sigma_scaled,market_bucket_1,0.3-0.4,0.3486131987413578,0.2640382317801673,837,-0.08457496696119055,0.30000000000000004,0.4
validation,global_sigma_scaled,market_bucket_1,0.4-0.5,0.45498334321975836,0.3333333333333333,1206,-0.12165000988642505,0.4,0.5
validation,global_sigma_scaled,market_bucket_1,0.5-0.6,0.5394188801749695,0.3605769230769231,832,-0.17884195709804646,0.5,0.6000000000000001
validation,global_sigma_scaled,market_bucket_1,0.6-0.7,0.6360446239987446,0.6153846153846154,91,-0.0206600086141292,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,market_bucket_1,0.7-0.8,0.746618816911759,0.7045454545454546,88,-0.042073362366304434,0.7000000000000001,0.8
validation,global_sigma_scaled,market_bucket_1,0.8-0.9,0.8532355477836154,0.8790322580645161,124,0.025796710280900692,0.8,0.9
