fetched_at,ticker,outcome_side,quote_type,price_dollars,size_contracts,level,cumulative_size,source_book_side
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.91,3.0,9,18359.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.9,10.0,10,18369.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.89,3.0,11,18372.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.85,38.0,12,18410.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.75,19.0,13,18429.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.7,1.0,14,18430.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.66,30.0,15,18460.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.65,1.0,16,18461.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.63,746.0,17,19207.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.5,10.0,18,19217.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.45,9.0,19,19226.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,NO,bid,0.41,100.0,20,19326.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.01,14286.53,1,14286.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.02,2703.0,2,16989.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.03,584.0,3,17573.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.04,364.0,4,17937.53,no_dollars
