fetched_at,evaluated_at,ticker,staleness_seconds,max_staleness_seconds,best_yes_bid,best_yes_bid_size,best_yes_ask,best_yes_ask_size,yes_spread,yes_midpoint,best_no_bid,best_no_bid_size,best_no_ask,best_no_ask_size,no_spread,no_midpoint,yes_bid_depth,yes_ask_depth,no_bid_depth,no_ask_depth,max_spread_dollars,orderbook_status,orderbook_reason,event_ticker,close_time,market_status,eligible
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP02-T75,0.0,,0.99,6209.61,,,,,,,0.01,6209.61,,,7784.110000000001,0.0,0.0,7784.110000000001,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP02-B81.5,0.0,,,,0.01,7690.42,,,0.99,7690.42,,,,,0.0,14322.01,14322.01,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP02-B79.5,0.0,,,,0.01,12617.87,,,0.99,12617.87,,,,,0.0,14652.070000000002,14652.070000000002,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP02-B77.5,0.0,,,,0.01,851.79,,,0.99,851.79,,,,,0.0,2879.13,2879.13,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-03T04:00:18.728003+00:00,2026-09-03T04:00:18.728003+00:00,KXHIGHNY-26SEP02-B75.5,0.0,,,,0.01,5933.63,,,0.99,5933.63,,,,,0.0,8527.130000000001,8527.130000000001,0.0,,OK,,KXHIGHNY-26SEP02,2026-09-03T05:00:00Z,active,True
2026-09-03T08:50:12.514927+00:00,2026-09-03T08:50:12.514927+00:00,KXHIGHNY-26SEP03-T90,0.0,,,,0.01,9031.56,,,0.99,9031.56,,,,,0.0,17519.559999999998,17519.559999999998,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T08:50:12.514927+00:00,2026-09-03T08:50:12.514927+00:00,KXHIGHNY-26SEP03-T83,0.0,,0.17,6.0,0.19,1.0,0.01999999999999999,0.18,0.81,1.0,0.83,6.0,0.019999999999999907,0.8200000000000001,2706.04,1010.01,1010.01,2706.04,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T08:50:12.514927+00:00,2026-09-03T08:50:12.514927+00:00,KXHIGHNY-26SEP03-B89.5,0.0,,,,0.02,18.0,,,0.98,18.0,,,,,0.0,1648.8899999999999,1648.8899999999999,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T08:50:12.514927+00:00,2026-09-03T08:50:12.514927+00:00,KXHIGHNY-26SEP03-B87.5,0.0,,0.06,126.0,0.09,50.0,0.03,0.075,0.91,50.0,0.94,126.0,0.029999999999999916,0.925,3143.6,2182.71,2182.71,3143.6,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T08:50:12.514927+00:00,2026-09-03T08:50:12.514927+00:00,KXHIGHNY-26SEP03-B85.5,0.0,,0.21,5.0,0.24,1.0,0.03,0.22499999999999998,0.76,1.0,0.79,5.0,0.030000000000000027,0.775,2815.15,1167.36,1167.36,2815.15,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T08:50:12.514927+00:00,2026-09-03T08:50:12.514927+00:00,KXHIGHNY-26SEP03-B83.5,0.0,,0.4,25.0,0.47,0.75,0.06999999999999995,0.435,0.53,0.75,0.6,25.0,0.06999999999999995,0.565,3078.54,2303.95,2303.95,3078.54,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T13:28:52.563519+00:00,2026-09-03T13:28:52.563519+00:00,KXHIGHNY-26SEP03-T90,0.0,,,,0.01,9109.19,,,0.99,9109.19,,,,,0.0,17768.190000000002,17768.190000000002,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T13:28:52.563519+00:00,2026-09-03T13:28:52.563519+00:00,KXHIGHNY-26SEP03-T83,0.0,,0.36,142.0,0.39,57.11,0.030000000000000027,0.375,0.61,57.11,0.64,142.0,0.030000000000000027,0.625,2277.2799999999997,1198.72,1198.72,2277.2799999999997,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T13:28:52.563519+00:00,2026-09-03T13:28:52.563519+00:00,KXHIGHNY-26SEP03-B89.5,0.0,,,,0.01,118.73,,,0.99,118.73,,,,,0.0,1688.12,1688.12,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T13:28:52.563519+00:00,2026-09-03T13:28:52.563519+00:00,KXHIGHNY-26SEP03-B87.5,0.0,,0.03,7.0,0.04,237.33,0.010000000000000002,0.035,0.96,237.33,0.97,7.0,0.010000000000000009,0.965,2917.85,1108.7,1108.7,2917.85,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
