cycle_id,fetched_at,status,n_markets_matched,n_markets_scraped,n_level_rows,n_summary_rows,n_violations,n_failures,n_warnings,violation_summary,levels_path,summary_path,raw_path
20260825T094150Z,2026-08-25T09:41:50.920631+00:00,OK,6,6,336,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T094150Z.jsonl
20260825T103919Z,2026-08-25T10:39:19.787171+00:00,OK,6,6,334,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T103919Z.jsonl
20260825T113428Z,2026-08-25T11:34:28.142666+00:00,OK,6,6,336,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T113428Z.jsonl
20260825T125859Z,2026-08-25T12:58:59.848541+00:00,OK,6,6,324,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T125859Z.jsonl
20260825T135519Z,2026-08-25T13:55:19.250618+00:00,OK,6,6,324,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T135519Z.jsonl
20260825T145313Z,2026-08-25T14:53:13.209815+00:00,OK,12,12,672,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T145313Z.jsonl
20260825T155023Z,2026-08-25T15:50:23.988186+00:00,OK,12,12,672,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T155023Z.jsonl
20260825T164446Z,2026-08-25T16:44:46.670897+00:00,OK,12,12,676,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T164446Z.jsonl
20260825T173659Z,2026-08-25T17:36:59.442862+00:00,OK,12,12,642,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T173659Z.jsonl
20260825T184823Z,2026-08-25T18:48:23.356443+00:00,OK,12,12,626,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/25/20260825T184823Z.jsonl
